,라벨명,등장 횟수,평균 스코어,표준편차,최대 스코어,최소 스코어
0,Vehicle,439,0.2805137235951315,3.5840225946739133,0.8109404444694519,0.05057922750711441
1,"Outside, urban or manmade",280,0.09520804270037583,0.9358345934141912,0.4204460680484772,0.050024691969156265
2,Music,275,0.3112475237114863,3.4703846623983488,0.8223857283592224,0.05079552158713341
3,Train,262,0.261531958256969,2.8958072180557326,0.7473545670509338,0.050532370805740356
4,Animal,256,0.1521383995859651,1.594696178911262,0.6802476048469543,0.050436943769454956
5,Car,248,0.14670542071783735,1.4743339534523483,0.5012502670288086,0.050111886113882065
6,Rail transport,237,0.233330121963336,2.4811924002322208,0.6775853633880615,0.050386179238557816
7,"Railroad car, train wagon",227,0.23383625723126175,2.4199737626632256,0.700685441493988,0.052400317043066025
8,Speech,222,0.5792349850977058,3.1458223625944863,0.8236133456230164,0.05397966131567955
9,"Inside, public space",202,0.09554354958973899,0.43653827187089045,0.19959954917430878,0.05011283978819847
10,"Subway, metro, underground",196,0.15827145746776036,1.415719921746484,0.4998655617237091,0.0504351444542408
11,Ocean,159,0.19200189228890077,1.6798882540091165,0.6807809472084045,0.050071872770786285
12,"Waves, surf",157,0.19952638950317528,1.7053672613475759,0.6776484847068787,0.05021701753139496
13,Sliding door,132,0.10309214449741623,0.5602490331106059,0.30491742491722107,0.050037793815135956
14,Wind,130,0.11858862870587752,0.7513129735746746,0.4224388301372528,0.0501292422413826
15,"Domestic animals, pets",124,0.13233722160540282,1.1491097217395732,0.6606558561325073,0.05011505261063576
16,Aircraft,121,0.2427039701830257,1.9928974672170898,0.6686881184577942,0.050751954317092896
17,Wind noise (microphone),121,0.11769926575712922,0.7383151892749659,0.4117743670940399,0.05180898308753967
18,Pink noise,109,0.1490345592824144,0.9470008227879684,0.38947075605392456,0.05079542100429535
19,"Fixed-wing aircraft, airplane",101,0.2217000358101755,1.5514233140165559,0.5916675329208374,0.05030703544616699
20,Bow-wow,101,0.1499962033611713,1.000611162742498,0.5069306492805481,0.05010046064853668
21,Bus,97,0.07610611636767682,0.22990859778016795,0.1456914097070694,0.050067976117134094
22,Dog,97,0.14032608815996916,0.9517523791978385,0.521868884563446,0.05017450824379921
23,Clickety-clack,92,0.11488563198920178,0.5402249150679055,0.29311251640319824,0.05344590172171593
24,"Outside, rural or natural",90,0.07402588812013468,0.2645488005404706,0.18323342502117157,0.05017348751425743
25,"Traffic noise, roadway noise",86,0.10026034825416498,0.42428785552677256,0.26230791211128235,0.05109776556491852
26,"Boat, Water vehicle",80,0.11035716868937015,0.8093626601001604,0.5149185061454773,0.05032126605510712
27,Door,80,0.10706462152302265,0.41820434537411233,0.259265273809433,0.05015549808740616
28,Run,77,0.13900246877561917,0.8760852175324447,0.4890192151069641,0.05129653587937355
29,Truck,74,0.1322066068045191,0.9054051399048639,0.5129866003990173,0.05167113617062569
30,Motor vehicle (road),74,0.07131346003026576,0.1520386629772862,0.1250382959842682,0.050311777740716934
31,Clip-clop,73,0.07940195827451471,0.3373054040929855,0.3159642815589905,0.05033518001437187
32,"Inside, large room or hall",71,0.06999720827164785,0.1815077302665171,0.1481781005859375,0.05021488666534424
33,Siren,70,0.20128993333450385,1.0519163075154396,0.7656989097595215,0.05095457285642624
34,Train wheels squealing,69,0.10222363401798235,0.6537066749915408,0.46529603004455566,0.050294943153858185
35,Horse,67,0.08891275058041757,0.4213560862159524,0.3336482346057892,0.05066179856657982
36,Emergency vehicle,66,0.25910136854332505,1.4407511894633425,0.6540851593017578,0.05201588198542595
37,Rain,65,0.23349892479869036,1.7098800859418797,0.9499545693397522,0.05151212960481644
38,Chatter,65,0.14447719059311426,0.7944256466699273,0.5033630728721619,0.050141457468271255
39,Basketball bounce,63,0.1483448508476454,0.8035669213806934,0.4444592297077179,0.050867173820734024
40,Engine,62,0.10561427714363221,0.5138917174443686,0.3956635892391205,0.050553031265735626
41,Bird,62,0.15854789148415288,1.0797846026576985,0.6717489957809448,0.05011816322803497
42,Aircraft engine,60,0.25252355554451544,1.273601295018944,0.6259742975234985,0.05083005875349045
43,Field recording,60,0.10741992679735025,0.428838832058028,0.282362699508667,0.05042027682065964
44,Thunder,60,0.21148913235714037,1.47906532852487,0.9026833772659302,0.05149104446172714
45,Ping,60,0.100509227377673,0.7410054231297641,0.7708543539047241,0.05038196220993996
46,Cupboard open or close,54,0.17055316614332022,0.9310320112594487,0.5713646411895752,0.05024780333042145
47,Thunderstorm,54,0.2087153116999953,1.404973826176533,0.910901665687561,0.051250338554382324
48,Water,52,0.1869778590133557,0.937056312343792,0.5104776620864868,0.052037373185157776
49,"Inside, small room",50,0.07049786545336247,0.1726453457100908,0.18774834275245667,0.050844259560108185
50,Crowd,49,0.12092051586630392,0.4489385122058307,0.3380991518497467,0.05065365880727768
51,"Fire engine, fire truck (siren)",48,0.15885908622294664,0.7973665458846412,0.6699529886245728,0.05624833330512047
52,"Female speech, woman speaking",47,0.12185563852495336,0.48083228453575017,0.3593856692314148,0.051973748952150345
53,"Propeller, airscrew",46,0.1458697452655305,0.8134388743390396,0.5318278670310974,0.05085153877735138
54,Vacuum cleaner,45,0.17581050536698764,0.8245377260156282,0.4663456082344055,0.05181077495217323
55,Rain on surface,45,0.1767238240275118,0.9490711551096228,0.6257606148719788,0.0509236678481102
56,"Hubbub, speech noise, speech babble",45,0.10687975246045324,0.35629384568134914,0.3242102265357971,0.050794173032045364
57,Police car (siren),43,0.16158292693800705,0.5463881449349457,0.3679492771625519,0.052304353564977646
58,Microwave oven,42,0.11597312028918948,0.48185379376891757,0.45011210441589355,0.05092113837599754
59,"Accelerating, revving, vroom",40,0.08945449022576213,0.24276144911028008,0.1795743703842163,0.0502111092209816
60,"Ice cream truck, ice cream van",40,0.24020392466336488,1.1058613033445457,0.7333638072013855,0.05075760930776596
61,Ambulance (siren),39,0.14698780853396806,0.5685833308944119,0.3916133940219879,0.05185879394412041
62,Mechanisms,38,0.19994192217525683,1.1374745843543617,0.7972408533096313,0.05083397030830383
63,Children playing,38,0.23951068863664804,1.1708338370946176,0.7414684295654297,0.051450230181217194
64,Helicopter,37,0.38836815973391403,1.6729440985464141,0.8261451125144958,0.05081985890865326
65,"Chink, clink",34,0.10568184460348942,0.4289320255942553,0.37826797366142273,0.05196131393313408
66,Jet engine,33,0.14858978117505708,0.5285814096496319,0.42452576756477356,0.054049137979745865
67,Slam,33,0.07570035337950244,0.1352240272632222,0.14709369838237762,0.05025522783398628
68,Waterfall,32,0.1129598394036293,0.3117718271780068,0.24441225826740265,0.05262898653745651
69,Hair dryer,31,0.2624603318831613,1.2649670057976008,0.8425049781799316,0.05604314059019089
70,Rumble,31,0.1083614436849471,0.42763579026987275,0.40723636746406555,0.05001819133758545
71,Yip,31,0.09039775967117279,0.21679797289620834,0.1923883706331253,0.050333984196186066
72,"Pigeon, dove",31,0.18172745490747114,0.810371312114778,0.5462064743041992,0.052553705871105194
73,Medium engine (mid frequency),30,0.08177992254495621,0.1728175208742527,0.18237997591495514,0.05071212723851204
74,"Dishes, pots, and pans",30,0.12421633290747801,0.5459919988859068,0.44399091601371765,0.051616642624139786
75,Raindrop,30,0.14217309132218361,0.4772498178984992,0.34262615442276,0.05117151141166687
76,Slosh,30,0.1869134144236644,0.7247039238855542,0.569700300693512,0.051550623029470444
77,Tools,29,0.15185604527078825,0.5651796064498702,0.3782626688480377,0.05651253089308739
78,Musical instrument,29,0.11373176451387076,0.2965985595147616,0.23342658579349518,0.050453271716833115
79,"Thump, thud",29,0.11203779845402159,0.31453192332798563,0.2748814821243286,0.050797589123249054
80,Ship,28,0.06649047535445009,0.07884349686288185,0.11561816930770874,0.05007217824459076
81,White noise,27,0.06938705855497608,0.11349115100962115,0.15645965933799744,0.050629645586013794
82,"Gunshot, gunfire",27,0.11696090535433204,0.3398247409298122,0.29883745312690735,0.05002765357494354
83,Eruption,27,0.12157497596409586,0.32972709896959534,0.2668358385562897,0.05025646463036537
84,Wood,26,0.12211729471500103,0.39757892953387347,0.3476599156856537,0.050651915371418
85,"Cutlery, silverware",26,0.14284690584127718,0.5634715571534995,0.4361572861671448,0.054726652801036835
86,Blender,25,0.18667973414063455,0.7016011235797271,0.6386048793792725,0.05316099524497986
87,Hiss,24,0.14182092590878406,0.5170357111466553,0.4012221395969391,0.05056723207235336
88,Scary music,24,0.1414564521983266,0.44377698917878405,0.37231549620628357,0.05178084596991539
89,Steam,23,0.154058162284934,0.49230603805473916,0.4318086802959442,0.05272771418094635
90,Biting,23,0.2885553062610004,0.627031550805718,0.4969005882740021,0.060603901743888855
91,"Child speech, kid speaking",23,0.13037012339286183,0.39472193468857886,0.42730364203453064,0.05101797357201576
92,Cheering,23,0.20162638098649358,0.5267889279908683,0.47558069229125977,0.05095885694026947
93,Crunch,22,0.33035973205485125,1.098193886444461,0.7990537285804749,0.05697541683912277
94,Snort,22,0.12548979304053567,0.3449001088026583,0.32143333554267883,0.05069991946220398
95,"Beep, bleep",21,0.13721066092451414,0.38246564802325744,0.38892874121665955,0.054188843816518784
96,Gears,21,0.18528139928267115,0.6448053330617848,0.5548680424690247,0.050232287496328354
97,Whimper (dog),21,0.08029971999071893,0.14315498414672978,0.15183158218860626,0.050139423459768295
98,"Narration, monologue",21,0.08953058559979711,0.18955040802928028,0.2194204330444336,0.05410504341125488
99,"Power windows, electric windows",20,0.14049489852041006,0.4378602768104253,0.4830511212348938,0.054246824234724045
100,"Ratchet, pawl",20,0.19676563497632743,0.6523449986431045,0.6112200617790222,0.05787112936377525
101,Drawer open or close,20,0.09958785567432642,0.22897548859557013,0.25476256012916565,0.05086717754602432
102,Singing,20,0.12413736172020436,0.3173657063549787,0.2904815673828125,0.05352311208844185
103,Idling,19,0.08928470352762624,0.13907945855435516,0.18559889495372772,0.053275346755981445
104,Keys jangling,18,0.15204762957162327,0.6113779520951675,0.6018014550209045,0.051030755043029785
105,Tick-tock,18,0.12459728080365393,0.38693857113255475,0.3935483694076538,0.0503702238202095
106,"Water tap, faucet",18,0.25761240161955357,0.7848536918261791,0.589535117149353,0.05700581893324852
107,Motorcycle,18,0.15708616748452187,0.34779900980028144,0.3533560037612915,0.057984549552202225
108,"Chewing, mastication",18,0.2724574903647105,0.5236430874137517,0.48480018973350525,0.06676716357469559
109,Train horn,18,0.12393838374151124,0.4345760756817703,0.39649686217308044,0.05042482167482376
110,Creak,18,0.1748071058342854,0.8167450857824412,0.7386864423751831,0.05313956364989281
111,Children shouting,18,0.15913894358608457,0.38279802668685914,0.3401423692703247,0.05284320190548897
112,Fill (with liquid),17,0.09456311034805634,0.1332161688415793,0.142329141497612,0.052612531930208206
113,Liquid,17,0.11582195977954303,0.20039058055560593,0.21825209259986877,0.05651123449206352
114,Percussion,17,0.13543499151573463,0.2931720339236082,0.2978999614715576,0.05062403902411461
115,Mallet percussion,17,0.11455032711519915,0.20706308746771168,0.20795434713363647,0.058421723544597626
116,Glockenspiel,17,0.1111891120672226,0.20083027782075952,0.19424982368946075,0.05057772994041443
117,"Marimba, xylophone",17,0.14306144591640024,0.4072334197720318,0.4415437877178192,0.05492062121629715
118,Reversing beeps,17,0.2880646926076973,0.9360754018701467,0.7202790975570679,0.05255523696541786
119,Explosion,17,0.10307125506155632,0.24260259257242925,0.24900804460048676,0.05089497193694115
120,Rub,16,0.21542798215523362,0.6346074854948653,0.49191761016845703,0.05449506640434265
121,Orchestra,16,0.13933004578575492,0.3090853234592413,0.3193523585796356,0.05347752571105957
122,"Male speech, man speaking",16,0.11020037066191435,0.21805876516959521,0.24190451204776764,0.05279691144824028
123,"Bird vocalization, bird call, bird song",16,0.12336989166215062,0.3172629046570636,0.36480993032455444,0.051662933081388474
124,Power tool,15,0.12782037059466045,0.21289751501521306,0.2179996222257614,0.06269070506095886
125,Silence,15,0.06375432536005973,0.03658478747824494,0.07819030433893204,0.05212626978754997
126,Drip,15,0.14961886902650198,0.34667782021723,0.35218295454978943,0.056426819413900375
127,Tick,15,0.10149775743484497,0.2502443977551097,0.2811318039894104,0.05046579986810684
128,Stream,15,0.08637572427590688,0.15577828285728512,0.21699471771717072,0.05187908932566643
129,Classical music,15,0.08035486340522766,0.10210251445771833,0.1284843385219574,0.05129560828208923
130,Coo,15,0.12250930592417716,0.21458690347714893,0.20499883592128754,0.052378877997398376
131,Air brake,15,0.09918382838368416,0.22203036642468613,0.2912892997264862,0.05082269012928009
132,Drill,14,0.1550972190286432,0.3483451011383094,0.3521345853805542,0.05411366745829582
133,Hum,14,0.1366555762610265,0.33384666920176503,0.3748413622379303,0.05819001421332359
134,Sink (filling or washing),14,0.22451869079044887,0.5945236601077416,0.5181938409805298,0.06746041029691696
135,Glass,14,0.13208967447280884,0.36566648816239766,0.43687012791633606,0.0592268668115139
136,Wind chime,14,0.1633388889687402,0.6469131093234425,0.6326777935028076,0.0584176741540432
137,Chime,14,0.14693669469228812,0.5684283206689639,0.5816517472267151,0.0546785369515419
138,Gong,13,0.21472405183773774,0.6316972537130845,0.613832950592041,0.05068229138851166
139,Stir,13,0.2759138156588261,0.8414368732866757,0.7757723331451416,0.06271647661924362
140,Insect,13,0.2390983205002088,0.7503829019337546,0.6851668953895569,0.052343521267175674
141,Breathing,13,0.14929256273003724,0.36280070776160395,0.45057329535484314,0.052214156836271286
142,Cat,13,0.23727386845992163,0.729887181695159,0.7361831068992615,0.06790971755981445
143,Tubular bells,13,0.09195153701763886,0.11069439076769257,0.15207144618034363,0.05175083875656128
144,Filing (rasp),12,0.16357866364220777,0.46751116802854104,0.5367854237556458,0.0631825253367424
145,Hammer,12,0.14910241278509298,0.6324855730116009,0.7394714951515198,0.05596166476607323
146,"Sailboat, sailing ship",12,0.08912013440082471,0.1513743967540435,0.18090008199214935,0.051619239151477814
147,Gasp,12,0.10084402654320002,0.11314562779731506,0.1756676882505417,0.05604704096913338
148,Choir,12,0.18986578937619925,0.5146231649633984,0.5371371507644653,0.05594255030155182
149,Air conditioning,11,0.058603834699500694,0.027062970520591936,0.07795199751853943,0.05128473415970802
150,Crushing,11,0.15501300448721106,0.31005327050463793,0.3197368085384369,0.05104696750640869
151,Crack,11,0.11278943751345981,0.32456485009493796,0.412301629781723,0.05190560221672058
152,Artillery fire,11,0.09845393692905252,0.11014974502383817,0.16478118300437927,0.054207079112529755
153,Bell,11,0.09463155337355354,0.16585532426061073,0.20192623138427734,0.05043432116508484
154,"Neigh, whinny",11,0.1337383118542758,0.27710157053985424,0.33335357904434204,0.05009686201810837
155,Tearing,10,0.1267071906477213,0.18297524985298744,0.2370704710483551,0.060955796390771866
156,Snake,10,0.12095542587339878,0.23154270115620612,0.2955704629421234,0.054334547370672226
157,Toilet flush,10,0.2065925896167755,0.6713826710941377,0.7529798150062561,0.05761115998029709
158,Civil defense siren,10,0.1862250119447708,0.6415899133970856,0.7796164751052856,0.05543399974703789
159,Sneeze,10,0.17215801998972893,0.29785095102787246,0.34576839208602905,0.05068764090538025
160,Tap,10,0.07625025883316994,0.08959888604324115,0.1510021835565567,0.05089525133371353
161,"Violin, fiddle",10,0.17115972191095352,0.274221422838253,0.35094648599624634,0.07735628634691238
162,Meow,10,0.2057081714272499,0.5917723542534111,0.6292532682418823,0.059446003288030624
163,Steelpan,10,0.15761662274599075,0.28801797300022697,0.3589370548725128,0.06604394316673279
164,Lawn mower,9,0.09971034361256494,0.17720623814961653,0.2535483241081238,0.05163528397679329
165,Arrow,9,0.12955102365877894,0.21509253944717607,0.2759443521499634,0.05364459007978439
166,Sewing machine,9,0.21249998443656498,0.42853912020373475,0.5522279143333435,0.08653537929058075
167,Sizzle,9,0.29243702441453934,0.5664417696001217,0.5456196069717407,0.07951672375202179
168,Bathtub (filling or washing),9,0.15142414222160974,0.4474640690390088,0.5519617795944214,0.051552534103393555
169,Cap gun,9,0.17847088269061512,0.3471097017631857,0.43806391954421997,0.06098702922463417
170,"Heart sounds, heartbeat",9,0.1151628630856673,0.18207327829283876,0.20766118168830872,0.05143626034259796
171,Snoring,9,0.3078718214399285,0.8468635274092676,0.8123857975006104,0.05159234255552292
172,Throat clearing,9,0.19815905102425152,0.31934644763544645,0.3372463583946228,0.05725103244185448
173,Whip,9,0.15018492481774753,0.29014421482836594,0.31170034408569336,0.05331481620669365
174,"Motorboat, speedboat",9,0.07946824861897363,0.07172260068208734,0.1350603997707367,0.05804012343287468
175,Car passing by,9,0.061215048448907,0.024886821783408113,0.07694748789072037,0.05145183950662613
176,"Race car, auto racing",9,0.1265253842704826,0.20022951841396924,0.25601035356521606,0.06132178381085396
177,Printer,8,0.10315033467486501,0.19102537257140767,0.27883073687553406,0.05076802894473076
178,Scissors,8,0.23615758772939444,0.5266538591868711,0.5899648070335388,0.05697549134492874
179,Whale vocalization,8,0.13102779490873218,0.17503194823315077,0.2262778878211975,0.052189137786626816
180,Frying (food),8,0.279706958681345,0.5626696406076717,0.6795086860656738,0.054744526743888855
181,Vibration,8,0.0794592434540391,0.06010958803162322,0.12030091881752014,0.05853799358010292
182,Engine knocking,8,0.09103079745545983,0.09549198008407779,0.16480252146720886,0.051374174654483795
183,Camera,8,0.15153493080288172,0.24041467913709963,0.279732882976532,0.05437123030424118
184,Single-lens reflex camera,8,0.1394177619367838,0.22678701250028815,0.3092506527900696,0.056839726865291595
185,"Rowboat, canoe, kayak",8,0.1951915230602026,0.5705174428318225,0.6026416420936584,0.05114781856536865
186,Gurgling,8,0.0625604703091085,0.028991694893687803,0.08700697869062424,0.05129111558198929
187,Sigh,8,0.2552464855834842,0.6174679535770636,0.7125100493431091,0.050383031368255615
188,Conversation,8,0.05820658104494214,0.02549918088998321,0.07814373075962067,0.05073137208819389
